  node   position        T1       T2       T3       T4       T5       T6       T7       T8       T9      T10      T11         h12   q1_2_conv  q2_3_cond  q3_4_conv   q3_4_rad  q4_5_cond  q5_10_conv   q5_6_conv    q5_rad    q6_rad   q10_rad  q6_10_conv  q6_7_cond  q7_8_rad  q7_8_conv  q8_9_cond  q9_10_conv  q9_11_rad  q3_SolAbs  q5_SolAbs  q6_SolAbs  q9_SolAbs    q_HL_ext   q_HL_int  q_HL_corr    diff_HL        p_htf        h_htf        x_htf    T1_evap    rho_htf        v_htf
    45    220.000   188.454  196.737  205.228   56.272   55.940   31.474   31.474   30.152   23.879   25.000   17.000    2206.432    3789.330   3789.330      0.000     44.670     44.670      91.860       0.000   -36.013     8.243    27.769      62.300      5.943     5.159      0.785      5.943     -25.615     36.559   3834.000     83.203     60.000      5.000     192.873     44.670     40.432      4.237   4.0647e+05    312761.08   -9.900e+01    -99.000    924.040      1.58162
    46    225.000   190.332  198.571  207.049   56.498   56.160   31.488   31.488   30.164   23.880   25.000   17.000    2217.632    3788.390   3788.390      0.000     45.610     45.610      92.481       0.000   -36.332     8.392    27.939      62.438      5.955     5.168      0.786      5.955     -25.606     36.561   3834.000     83.203     60.000      5.000     193.813     45.610     41.103      4.507   4.0429e+05    316550.41   -9.900e+01    -99.000    922.413      1.58441
    47    230.000   192.204  200.400  208.866   56.727   56.382   31.503   31.503   30.177   23.880   25.000   17.000    2228.693    3787.438   3787.438      0.000     46.561     46.561      93.109       0.000   -36.655     8.543    28.112      62.578      5.966     5.178      0.788      5.966     -25.597     36.563   3834.000     83.203     60.000      5.000     194.764     46.561     41.782      4.779   4.0211e+05    320338.80   -9.900e+01    -99.000    920.785      1.58721
    48    235.000   194.072  202.226  210.678   56.960   56.607   31.518   31.518   30.189   23.881   25.000   17.000    2239.618    3786.475   3786.475      0.000     47.525     47.525      93.745       0.000   -36.983     8.696    28.287      62.719      5.977     5.188      0.789      5.977     -25.588     36.565   3834.000     83.203     60.000      5.000     195.728     47.525     42.472      5.053   3.9992e+05    324126.24   -9.900e+01    -99.000    919.159      1.59002
    49    240.000   195.934  204.047  212.486   57.194   56.834   31.533   31.533   30.202   23.881   25.000   17.000    2250.408    3785.500   3785.500      0.000     48.500     48.500      94.387       0.000   -37.316     8.852    28.464      62.863      5.989     5.198      0.790      5.989     -25.579     36.567   3834.000     83.203     60.000      5.000     196.703     48.500     43.170      5.329   3.9772e+05    327912.71   -9.900e+01    -99.000    917.532      1.59284
    50    245.000   197.791  205.863  214.290   57.432   57.065   31.548   31.548   30.215   23.881   25.000   17.000    2261.066    3784.513   3784.513      0.000     49.487     49.487      95.037       0.000   -37.653     9.009    28.644      63.008      6.001     5.209      0.792      6.001     -25.569     36.570   3834.000     83.203     60.000      5.000     197.690     49.487     43.879      5.607   3.9553e+05    331698.21   -9.900e+01    -99.000    915.906      1.59566
    51    250.000   199.643  207.676  216.090   57.673   57.298   31.564   31.564   30.228   23.882   25.000   17.000    2271.593    3783.514   3783.514      0.000     50.486     50.486      95.694       0.000   -37.995     9.169    28.826      63.156      6.013     5.219      0.793      6.013     -25.559     36.572   3834.000     83.203     60.000      5.000     198.689     50.486     44.598      5.888   3.9333e+05    335482.73   -9.900e+01    -99.000    914.280      1.59850
    52    255.000   201.490  209.484  217.885   57.916   57.534   31.580   31.579   30.241   23.882   25.000   17.000    2281.991    3782.503   3782.503      0.000     51.496     51.496      96.358       0.000   -38.342     9.330    29.011      63.306      6.025     5.230      0.795      6.025     -25.550     36.574   3834.000     83.203     60.000      5.000     199.700     51.496     45.326      6.170   3.9113e+05    339266.24   -9.900e+01    -99.000    912.655      1.60135
    53    260.000   203.331  211.288  219.677   58.162   57.772   31.596   31.595   30.254   23.883   25.000   17.000    2292.262    3781.480   3781.480      0.000     52.520     52.520      97.029       0.000   -38.693     9.494    29.199      63.458      6.037     5.241      0.796      6.037     -25.540     36.577   3834.000     83.203     60.000      5.000     200.723     52.520     46.065      6.454   3.8892e+05    343048.74   -9.900e+01    -99.000    911.029      1.60421
    54    265.000   205.168  213.087  221.464   58.411   58.014   31.612   31.612   30.268   23.883   25.000   17.000    2302.407    3780.445   3780.445      0.000     53.555     53.555      97.708       0.000   -39.050     9.661    29.389      63.611      6.049     5.251      0.798      6.049     -25.530     36.579   3834.000     83.203     60.000      5.000     201.758     53.555     46.814      6.741   3.8672e+05    346830.22   -9.900e+01    -99.000    909.403      1.60707
    55    270.000   207.000  214.882  223.246   58.663   58.258   31.628   31.628   30.281   23.884   25.000   17.000    2312.430    3779.398   3779.398      0.000     54.602     54.602      98.394       0.000   -39.411     9.829    29.582      63.767      6.062     5.262      0.799      6.062     -25.520     36.582   3834.000     83.203     60.000      5.000     202.805     54.602     47.573      7.029   3.8450e+05    350610.67   -9.900e+01    -99.000    907.777      1.60995
    56    275.000   208.827  216.673  225.025   58.918   58.505   31.645   31.645   30.295   23.884   25.000   17.000    2322.330    3778.338   3778.338      0.000     55.662     55.662      99.088       0.000   -39.777    10.000    29.777      63.925      6.075     5.274      0.801      6.075     -25.509     36.584   3834.000     83.203     60.000      5.000     203.865     55.662     48.343      7.319   3.8229e+05    354390.07   -9.900e+01    -99.000    906.151      1.61284
    57    280.000   210.649  218.460  226.799   59.175   58.754   31.662   31.661   30.310   23.884   25.000   17.000    2332.111    3777.265   3777.265      0.000     56.734     56.734      99.789       0.000   -40.148    10.173    29.975      64.086      6.088     5.285      0.803      6.088     -25.499     36.587   3834.000     83.203     60.000      5.000     204.937     56.734     49.124      7.611   3.8007e+05    358168.40   -9.900e+01    -99.000    904.525      1.61574
    58    285.000   212.466  220.243  228.569   59.436   59.007   31.679   31.678   30.324   23.885   25.000   17.000    2341.774    3776.181   3776.181      0.000     57.819     57.819     100.497       0.000   -40.525    10.349    30.176      64.248      6.101     5.297      0.804      6.101     -25.488     36.589   3834.000     83.203     60.000      5.000     206.022     57.819     49.915      7.904   3.7785e+05    361945.67   -9.900e+01    -99.000    902.898      1.61865
    59    290.000   214.278  222.021  230.335   59.700   59.262   31.696   31.696   30.338   23.885   25.000   17.000    2351.320    3775.083   3775.083      0.000     58.916     58.916     101.213       0.000   -40.906    10.527    30.380      64.413      6.114     5.308      0.806      6.114     -25.478     36.592   3834.000     83.203     60.000      5.000     207.119     58.916     50.717      8.200   3.7563e+05    365721.85   -9.900e+01    -99.000    901.271      1.62157
    60    295.000   216.085  223.795  232.096   59.966   59.521   31.713   31.713   30.353   23.886   25.000   17.000    2360.751    3773.973   3773.973      0.000     60.026     60.026     101.937       0.000   -41.293    10.707    30.586      64.579      6.128     5.320      0.808      6.128     -25.467     36.594   3834.000     83.203     60.000      5.000     208.229     60.026     51.529      8.497   3.7340e+05    369496.93   -9.900e+01    -99.000    899.644      1.62451
    61    300.000   217.887  225.565  233.854   60.236   59.782   31.731   31.731   30.368   23.886   25.000   17.000    2370.069    3772.851   3772.851      0.000     61.149     61.149     102.667       0.000   -41.685    10.890    30.795      64.748      6.141     5.332      0.809      6.141     -25.456     36.597   3834.000     83.203     60.000      5.000     209.352     61.149     52.353      8.796   3.7117e+05    373270.91   -9.900e+01    -99.000    898.016      1.62745
