        node           T1           T3          T10     q_HL_int
  241.000000   323.400000   328.639000    30.000000   419.632000
  242.000000   323.617000   328.853000    30.000000   420.039000
  243.000000   323.835000   329.066000    30.000000   420.707000
  244.000000   324.052000   329.279000    30.000000   421.115000
  245.000000   324.269000   329.492000    30.000000   421.523000
  246.000000   324.487000   329.706000    30.000000   421.931000
  247.000000   324.704000   329.919000    30.000000   422.340000
  248.000000   324.921000   330.132000    30.000000   423.009000
  249.000000   325.138000   330.345000    30.000000   423.419000
  250.000000   325.355000   330.559000    30.000000   423.829000
  251.000000   325.573000   330.772000    30.000000   424.238000
  252.000000   325.790000   330.985000    30.000000   424.648000
  253.000000   326.007000   331.198000    30.000000   425.058000
  254.000000   326.223000   331.411000    30.000000   425.729000
  255.000000   326.440000   331.624000    30.000000   426.140000
  256.000000   326.657000   331.837000    30.000000   426.551000
  257.000000   326.874000   332.050000    30.000000   426.962000
  258.000000   327.091000   332.263000    30.000000   427.373000
  259.000000   327.308000   332.476000    30.000000   427.784000
  260.000000   327.524000   332.688000    30.000000   428.457000
  261.000000   327.741000   332.901000    30.000000   428.869000
  262.000000   327.957000   333.114000    30.000000   429.281000
  263.000000   328.174000   333.326000    30.000000   429.694000
  264.000000   328.390000   333.539000    30.000000   430.107000
  265.000000   328.607000   333.752000    30.000000   430.520000
  266.000000   328.823000   333.964000    30.000000   431.194000
  267.000000   329.040000   334.176000    30.000000   431.607000
  268.000000   329.256000   334.389000    30.000000   432.021000
  269.000000   329.472000   334.602000    30.000000   432.435000
  270.000000   329.689000   334.814000    30.000000   432.850000
  271.000000   329.905000   335.026000    30.000000   433.264000
  272.000000   330.121000   335.238000    30.000000   433.940000
  273.000000   330.337000   335.451000    30.000000   434.356000
  274.000000   330.553000   335.663000    30.000000   434.771000
  275.000000   330.769000   335.875000    30.000000   435.187000
  276.000000   330.985000   336.088000    30.000000   435.603000
  277.000000   331.201000   336.300000    30.000000   436.019000
  278.000000   331.417000   336.512000    30.000000   436.696000
  279.000000   331.633000   336.724000    30.000000   437.112000
  280.000000   331.849000   336.936000    30.000000   437.529000
  281.000000   332.064000   337.148000    30.000000   437.946000
  282.000000   332.280000   337.360000    30.000000   438.364000
  283.000000   332.496000   337.572000    30.000000   438.781000
  284.000000   332.711000   337.783000    30.000000   439.460000
