         r_int      r_ext      T_int      T_ext      nCells      qConv_int      qConv_ext
 case151    0.04250    0.08250      618.0      518.0       60.0  -108.278   110.305
 case152    0.04250    0.08250      618.0      518.0       75.0   -91.559   117.620
 case153    0.04250    0.08250      618.0      468.0       30.0  -196.283   197.548
 case154    0.04250    0.08250      618.0      468.0       45.0  -185.813   186.136
 case155    0.04250    0.08250      618.0      468.0       60.0  -181.149   183.886
 case156    0.04250    0.08250      618.0      468.0       75.0  -165.669   191.666
 case157    0.04250    0.08250      550.0      358.0       30.0  -282.258   283.258
 case158    0.04250    0.08250      550.0      358.0       45.0  -264.110   264.762
 case159    0.04250    0.08250      550.0      358.0       60.0  -256.845   259.760
 case160    0.04250    0.08250      550.0      358.0       75.0  -241.605   267.767
 case161    0.04250    0.08250      550.0      450.0       30.0  -120.075   120.786
 case162    0.04250    0.08250      550.0      450.0       45.0  -114.358   114.517
 case163    0.04250    0.08250      550.0      450.0       60.0  -111.783   113.605
 case164    0.04250    0.08250      550.0      450.0       75.0  -100.213   119.280
 case165    0.04250    0.08250      550.0      400.0       30.0  -203.168   204.665
 case166    0.04250    0.08250      550.0      400.0       45.0  -192.051   192.430
 case167    0.04250    0.08250      550.0      400.0       60.0  -187.219   189.615
 case168    0.04250    0.08250      550.0      400.0       75.0  -174.164   196.473
 case169    0.04250    0.08250      450.0      258.0       30.0  -302.045   302.671
 case170    0.04250    0.08250      450.0      258.0       45.0  -280.468   281.332
 case171    0.04250    0.08250      450.0      258.0       60.0  -273.914   273.890
 case172    0.04250    0.08250      450.0      258.0       75.0  -274.833   276.334
 case173    0.04250    0.08250      450.0      350.0       30.0  -127.463   128.228
 case174    0.04250    0.08250      450.0      350.0       45.0  -120.869   121.047
 case175    0.04250    0.08250      450.0      350.0       60.0  -118.152   119.590
 case176    0.04250    0.08250      450.0      350.0       75.0  -110.223   124.064
 case177    0.04250    0.08250      450.0      300.0       30.0  -217.226   218.000
 case178    0.04250    0.08250      450.0      300.0       45.0  -203.522   204.029
 case179    0.04250    0.08250      450.0      300.0       60.0  -198.617   199.963
 case180    0.04250    0.08250      450.0      300.0       75.0  -191.060   206.078
 case181    0.04250    0.10250      618.0      426.0       30.0  -299.624   304.142
 case182    0.04250    0.10250      618.0      426.0       45.0  -280.437   281.909
 case183    0.04250    0.10250      618.0      426.0       60.0  -265.874   268.881
 case184    0.04250    0.10250      618.0      426.0       75.0  -236.964   271.309
 case185    0.04250    0.10250      618.0      518.0       30.0  -128.890   130.063
 case186    0.04250    0.10250      618.0      518.0       45.0  -120.154   120.627
 case187    0.04250    0.10250      618.0      518.0       60.0  -114.139   116.099
 case188    0.04250    0.10250      618.0      518.0       75.0   -17.210   140.502
 case189    0.04250    0.10250      618.0      468.0       30.0  -217.763   220.168
 case190    0.04250    0.10250      618.0      468.0       45.0  -203.379   204.362
 case191    0.04250    0.10250      618.0      468.0       60.0  -192.987   195.545
 case192    0.04250    0.10250      618.0      468.0       75.0  -148.195   204.954
 case193    0.04250    0.10250      550.0      358.0       30.0  -312.430   314.738
 case194    0.04250    0.10250      550.0      358.0       45.0  -290.372   292.008
 case195    0.04250    0.10250      550.0      358.0       60.0  -275.278   278.151
 case196    0.04250    0.10250      550.0      358.0       75.0  -250.092   279.133
 case197    0.04250    0.10250      550.0      450.0       30.0  -133.453   134.687
 case198    0.04250    0.10250      550.0      450.0       45.0  -124.373   124.894
 case199    0.04250    0.10250      550.0      450.0       60.0  -118.220   119.934
 case200    0.04250    0.10250      550.0      450.0       75.0   -66.680   132.684
 case201    0.04250    0.10250      550.0      400.0       30.0  -224.822   227.894
 case202    0.04250    0.10250      550.0      400.0       45.0  -210.582   211.718
 case203    0.04250    0.10250      550.0      400.0       60.0  -199.945   202.182
 case204    0.04250    0.10250      550.0      400.0       75.0  -176.845   204.767
 case205    0.04250    0.10250      450.0      258.0       30.0  -332.061   334.323
 case206    0.04250    0.10250      450.0      258.0       45.0  -308.156   310.094
 case207    0.04250    0.10250      450.0      258.0       60.0  -293.241   294.171
 case208    0.04250    0.10250      450.0      258.0       75.0  -288.591   284.081
 case209    0.04250    0.10250      450.0      350.0       30.0  -141.470   143.070
 case210    0.04250    0.10250      450.0      350.0       45.0  -132.027   132.653
 case211    0.04250    0.10250      450.0      350.0       60.0  -125.535   126.954
 case212    0.04250    0.10250      450.0      350.0       75.0  -110.968   129.190
 case213    0.04250    0.10250      450.0      300.0       30.0  -240.070   242.801
 case214    0.04250    0.10250      450.0      300.0       45.0  -223.751   224.984
 case215    0.04250    0.10250      450.0      300.0       60.0  -212.273   214.248
 case216    0.04250    0.10250      450.0      300.0       75.0  -197.032   213.179
 case217    0.05500    0.07500      618.0      426.0       30.0  -305.815   305.966
 case218    0.05500    0.07500      618.0      426.0       45.0  -302.195   302.387
 case219    0.05500    0.07500      618.0      426.0       60.0  -302.119   304.973
 case220    0.05500    0.07500      618.0      426.0       75.0  -295.345   318.168
 case221    0.05500    0.07500      618.0      518.0       30.0  -130.081   130.136
 case222    0.05500    0.07500      618.0      518.0       45.0  -129.085   129.113
 case223    0.05500    0.07500      618.0      518.0       60.0  -128.927   129.445
 case224    0.05500    0.07500      618.0      518.0       75.0  -125.645   133.808
 case225    0.05500    0.07500      618.0      468.0       30.0  -221.171   221.465
 case226    0.05500    0.07500      618.0      468.0       45.0  -218.698   219.061
 case227    0.05500    0.07500      618.0      468.0       60.0  -219.463   220.813
 case228    0.05500    0.07500      618.0      468.0       75.0  -213.066   229.266
 case229    0.05500    0.07500      550.0      358.0       30.0  -317.474   317.659
 case230    0.05500    0.07500      550.0      358.0       45.0  -313.638   313.860
 case231    0.05500    0.07500      550.0      358.0       60.0  -313.352   316.586
 case232    0.05500    0.07500      550.0      358.0       75.0  -307.940   329.906
 case233    0.05500    0.07500      550.0      450.0       30.0  -134.904   134.986
 case234    0.05500    0.07500      550.0      450.0       45.0  -133.828   133.865
 case235    0.05500    0.07500      550.0      450.0       60.0  -133.634   134.277
 case236    0.05500    0.07500      550.0      450.0       75.0  -130.094   139.003
 case237    0.05500    0.07500      550.0      400.0       30.0  -229.239   229.441
 case238    0.05500    0.07500      550.0      400.0       45.0  -226.629   226.803
 case239    0.05500    0.07500      550.0      400.0       60.0  -227.367   228.747
 case240    0.05500    0.07500      550.0      400.0       75.0  -221.777   237.719
 case241    0.05500    0.07500      450.0      258.0       30.0  -339.526   339.412
 case242    0.05500    0.07500      450.0      258.0       45.0  -334.820   335.079
 case243    0.05500    0.07500      450.0      258.0       60.0  -334.792   337.415
 case244    0.05500    0.07500      450.0      258.0       75.0  -335.137   345.494
